Date,Actual,Predicted,Residual
2024-06-01,15.05,15.138120395690652,-0.08812039569065178
2024-06-08,15.19,15.103824181474295,0.08617581852570488
2024-06-15,15.61,15.1475245046797,0.46247549532029986
2024-06-22,15.54,15.276081704750792,0.26391829524920674
2024-07-01,15.57,15.154548580437357,0.4154514195626433
2024-07-08,14.87,15.137964354677202,-0.26796435467720237
2024-07-15,14.82,15.03777734362561,-0.21777734362560963
2024-07-22,14.48,15.164716790854305,-0.6847167908543046
2024-08-01,14.77,15.131164597715898,-0.3611645977158986
2024-08-08,14.14,15.022964669222194,-0.8829646692221935
2024-08-15,14.73,15.146809894804656,-0.4168098948046559
2024-08-22,15.31,15.004740094795189,0.30525990520481194
2024-09-01,14.35,14.589852555464109,-0.23985255546410933
2024-09-08,14.99,14.538551799578332,0.4514482004216678
2024-09-15,15.38,15.084519306028463,0.29548069397153753
2024-09-22,14.85,15.034608925881818,-0.1846089258818182
2024-10-01,15.22,15.146278945363733,0.07372105463626788
2024-10-08,15.25,14.527597663795627,0.7224023362043734
2024-10-15,15.43,15.075468272300554,0.3545317276994453
2024-10-22,14.79,15.080366618622723,-0.2903666186227234
2024-11-01,15.6,15.074634940291176,0.5253650597088235
2024-11-08,14.92,15.088873691122467,-0.1688736911224673
2024-11-15,15.06,15.262995068304063,-0.20299506830406244
2024-11-22,15.25,15.085046085356973,0.16495391464302678
2024-12-01,15.09,15.450942830203319,-0.3609428302033191
2024-12-08,15.38,15.103589886323018,0.27641011367698276
2024-12-15,15.7,15.494216543277865,0.20578345672213416
2024-12-22,15.82,15.120351163475158,0.6996488365248421
2025-01-01,15.22,15.5689328130765,-0.3489328130764999
2025-01-08,15.97,15.249054358135535,0.720945641864466
2025-01-15,15.18,15.579197280789518,-0.39919728078951877
2025-01-22,15.55,15.262030119644512,0.28796988035548843
2025-02-01,15.24,15.318442262879143,-0.07844226287914324
2025-02-08,15.75,15.398675715755864,0.35132428424413575
2025-02-15,15.49,15.345214500799614,0.14478549920038652
2025-02-22,15.93,15.352276061931423,0.5777239380685764
2025-03-01,15.01,15.168531901422941,-0.1585319014229416
2025-03-08,15.47,15.099967932734577,0.3700320672654236
2025-03-15,15.45,15.189211914227247,0.26078808577275225
2025-03-22,15.16,15.11602494895347,0.04397505104653021
2025-04-01,14.14,15.22673238743814,-1.0867323874381398
2025-04-08,13.67,15.019918510630855,-1.3499185106308556
2025-04-15,14.2,15.078840535523208,-0.8788405355232083
2025-04-22,14.2,14.931235864014734,-0.7312358640147352
2025-05-01,15.2,15.01774161605957,0.18225838394042881
2025-05-08,14.73,15.05691300237228,-0.3269130023722795
2025-05-15,14.31,15.029588772075757,-0.7195887720757561
2025-05-22,13.8,15.103613788785438,-1.3036137887854373
2025-06-01,14.87,15.109644389150915,-0.23964438915091613
2025-06-08,14.74,15.058912350375278,-0.3189123503752782
2025-06-15,15.39,15.0314637057475,0.35853629425250055
